Titulo do imóvel,Tipo,Preço,Valor Condominio,Quartos,Suítes,Área Total,Bairro,Link para o anúncio,Origem
Apartamento - Padrão,Apartamento,R$ 1.800.00,R$ 300.00,2,1,,Vila Industrial - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Apartamento/Padrao/Vila-Industrial/1433,Imobiliaria Ativa
Apartamento - Padrão,Apartamento,R$ 900.00,R$ 180.00,2,,,Jardim Tocantins - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Apartamento/Padrao/Jardim-Tocantins/3643,Imobiliaria Ativa
Casa - Centro,Casa,R$ 1.700.00,R$ None,2,,102.25 m²,Centro - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Casa/Padrao/Centro/11660,Imobiliaria Ativa
Apartamento - Padrão,Apartamento,R$ 1.250.00,R$ 300.00,1,,72.90 m²,Centro - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Apartamento/Padrao/Centro/5910,Imobiliaria Ativa
Casa Padrão com otima localização Jardim Pancera,Casa,R$ 2.300.00,R$ None,3,,250 m²,Jardim Pancera - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Casa/Padrao/Jardim-Pancera/12516,Imobiliaria Ativa
Casa - Padrão,Casa,R$ 1.450.00,R$ None,2,,170.84 m²,Jardim São Francisco - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Casa/Padrao/Jardim-Sao-Francisco/10608,Imobiliaria Ativa
Casa - Sobrado,Casa,R$ 2.150.00,R$ None,3,1,,Jardim Santa Maria - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Casa/Sobrado/Jardim-Santa-Maria/2323,Imobiliaria Ativa
Casa Nova com otimo espaço. Jardim São Francisco,Casa,R$ 1.600.00,R$ None,1,1,,São Francisco - Toledo/PR,https://www.imobiliariaativa.com.br/comprar/Toledo/Casa/Padrao/Sao-Francisco/12880,Imobiliaria Ativa
Apartamento - Padrão,Apartamento,R$ 1.400.00,R$ 260.00,2,,55.90 m²,Jardim Tocantins - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Apartamento/Padrao/Jardim-Tocantins/1506,Imobiliaria Ativa
Apartamento - Padrão,Apartamento,R$ 1.890.00,R$ 250.00,2,1,,Jardim La Salle - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Apartamento/Padrao/Jardim-La-Salle/7241,Imobiliaria Ativa
