,titulo,preco,quartos,area
2,Apartamento Térreo Com Ótimo Custo Para Locação,1100.0,2.0,55.0
3,Apartamento Amplo Para Locação,1250.0,2.0,80.0
4,Apartamento Para Locação,1300.0,2.0,74.0
5,Apartamento Disponível Para Locação,1350.0,2.0,79.0
7,Apartamento Amplo Para Locação No Edifício San Mar,1400.0,1.0,98.0
8,Apartamento Amplo E Bem Localizado Disponível Para Locação,1400.0,2.0,70.0
9,Apartamento Para Locação No Edifício Montreal,1480.0,1.0,70.0
10,Apartamento Amplo Para Locação No Edifício Podolan,1490.0,2.0,71.0
11,Apartamento Com Excelente Localização Para Locação,1490.0,1.0,78.0
12,Apartamento Amplo Para Locação,1500.0,2.0,96.0
13,Casa Nova Em Ótima Localização Para Locação,1500.0,1.0,57.0
16,Apartamento Para Locação No Residencial Interlagos,1550.0,2.0,73.0
17,Casa Com Excelente Localização Para Locação,1550.0,2.0,49.0
18,Apartamento Novo Disponível Para Locação Na Vila Becker,1590.0,1.0,127.0
19,Sobrado Amplo Para Locação Em Ótima Localização,1600.0,1.0,81.0
20,Casa Disponível Para Locação Na Vila Pioneiro,1600.0,3.0,68.0
23,Apartamento Para Locação,1800.0,2.0,75.0
24,Apartamento No Forte Dos Lagos Para Locação Na Vila Industrial,1850.0,2.0,58.0
25,Apartamento Amplo Para Locação No Edifício Znt Equador,1850.0,1.0,90.0
26,Apartamento Novo Para Locação Em Ótima Localização,1850.0,1.0,92.0
27,Apartamento Com Excelente Localização Para Locação,2000.0,2.0,82.0
28,Casa Moderna Disponível Para Locação No Jardim São Francisco,2000.0,2.0,64.0
29,Sobrado Amplo Para Locação Em Excelente Localização,2000.0,2.0,104.0
30,Apartamento Amplo Para Locação No Edifício Gaivotas,2000.0,2.0,111.0
32,Sobrado Amplo Para Locação Em Ótima Localização,2200.0,2.0,110.0
33,Apartamento Amplo Para Locação Residencial Porto Belo,2200.0,1.0,109.0
34,Apartamento Para Locação No Ed. Znt Borges De Medeiros,2200.0,1.0,114.0
37,Apartamento Para Locação No Edifício Portal Do Lago,2390.0,2.0,100.0
40,Apartamento Para Locação,2475.0,2.0,142.0
42,Apartamento Amplo Para Locação No Znt Industrial,2500.0,1.0,90.0
43,Apartamento Para Locação No Edifício Woodville,2500.0,1.0,90.0
45,Sobrado Amplo Para Locação Em Ótima Localização No Jardim Coopagro,2500.0,2.0,110.0
48,Apartamento Para Locação No Edifício Woodville,2500.0,1.0,90.0
50,Sobrado Amplo Para Locação No Jardim Pancera Em Toledo-Pr,2550.0,3.0,115.0
51,Apartamento Amplo Para Locação No Edifício Dona Adelina,2600.0,2.0,151.0
52,Sobrado Amplo Em Excelente Localização Para Locação,2600.0,2.0,96.0
54,Apartamento Para Locação No Edifício Celestial,2680.0,1.0,110.0
55,Apartamento Semi Mobiliado Para Locação,2700.0,1.0,100.0
56,Apartamento Para Locação No Residencial Bella Luna,2700.0,1.0,129.0
59,Apartamento Amplo Para Locação,2700.0,2.0,147.0
62,Apartamento Amplo Para Locação Em Ótima Localização,2800.0,3.0,203.0
65,Sobrado Com Excelente Localização Para Locação,2800.0,2.0,120.0
66,Sobrado Amplo Disponível Para Locação No Jardim Concórdia,2800.0,2.0,160.0
67,Apartamento Amplo Para Locação Em Excelente Localização,2900.0,2.0,120.0
68,Apartamento Amplo Para Locação No Jardim Concórdia,2990.0,2.0,140.0
69,Casa Ampla Para Locação Em Região Privilegiada Da Cidade,3000.0,3.0,182.0
70,Apartamento Para Locação Em Ótima Localização,3000.0,2.0,130.0
71,Casa Ampla Para Locação Em Excelente Localização,3000.0,2.0,127.0
72,Casa Nova Para Locação Em Excelente Localização Na Vila Industrial,3100.0,2.0,96.0
76,Apartamento Amplo Para Locação Em Excelente Localização,3500.0,2.0,182.0
77,Casa Semi-Mobiliada Para Locação Em Ótima Localização,3500.0,2.0,30.0
79,Apartamento Amplo Para Locação No Jardim Porto Alegre,3500.0,1.0,245.0
80,Sobrado Amplo Para Locação No Jardim Gisela,3600.0,2.0,146.0
81,Sobrado Amplo Para Locação Em Ótima Localização No Jardim Gisela,3700.0,2.0,134.0
84,Apartamento Para Locação Em Ótima Localização,4300.0,2.0,130.0
85,Casa Comercial Para Locação Em Excelente Localização,4400.0,3.0,267.0
86,Casa Com Píscina Aquecida  Para Locação,4400.0,2.0,300.0
88,Casa Ampla Para Locação Em Excelente Localização Na Vila Industrial,4500.0,2.0,160.0
90,Apartamento Mobiliado Com 03 Dormitórios,4500.0,2.0,170.0
143,APARTAMENTO BAIRRO VILA BECKER ,1300.0,2.0,83.0
145,APARTAMENTO BAIRRO CENTRO ,1850.0,2.0,80.29
152,"Sobrado para locação, JARDIM PORTO ALEGRE, TOLEDO - PR ",4500.0,2.0,495.0
153,SOBRADO BAIRRO JARDIM PORTO ALEGRE ,3500.0,3.0,200.0
168,"Apartamento para locação, JARDIM PANCERA, TOLEDO - PR ",1500.0,2.0,72.19
171,"Apartamento para Locação, CENTRO, TOLEDO - PR ",2500.0,2.0,150.0
176,"Apartamento para locação, JARDIM LA SALLE, TOLEDO - PR ",3000.0,2.0,91.97
199,"Apartamento para locação, JARDIM SANTA MARIA, TOLEDO - PR ",1600.0,2.0,108.24
203,"Casa, VILA INDUSTRIAL, TOLEDO - PR ",3100.0,2.0,195.0
