Titulo do imóvel,Tipo do imóvel,Preço,Valor Condomínio,Bairro,Link para o anúncio,Origem,Quartos,Suítes,Área do imóvel
Sala Comercial Para Locação No Edifício Thielke,Sala Comercial,900,0,jardim coopagro,https://www.imobiliariagiaretta.com.br/imovel/locacao/sala-comercial/toledo/jardim-coopagro/sala-comercial-para-locacao-no-edificio-thielke--jardim-coopagro--toledo---pr/877038,Giaretta,0,0,20.0
Sala Comercial Para Locação Em Ótima Localização,Sala Comercial,950,0,jardim gisela,https://www.imobiliariagiaretta.com.br/imovel/locacao/sala-comercial/toledo/jardim-gisela/sala-comercial-para-locacao-em-otima-localizacao--jardim-gisela--toledo---pr/800590,Giaretta,0,0,42.0
Apartamento Térreo Com Ótimo Custo Para Locação,Residencial,1100,250,vila operaria,https://www.imobiliariagiaretta.com.br/imovel/locacao/apartamento/toledo/vila-operaria/apartamento-terreo-com-otimo-custo-para-locacao--vila-operaria--toledo-pr/576850,Giaretta,2,0,55.0
Apartamento Amplo Para Locação,Residencial,1250,250,centro,https://www.imobiliariagiaretta.com.br/imovel/locacao/apartamento/toledo/centro/apartamento-amplo-para-locacao--edificio-rui-barbosa--centro--toledo---pr/222469,Giaretta,2,0,80.0
Apartamento Para Locação,Residencial,1300,250,vila operaria,https://www.imobiliariagiaretta.com.br/imovel/locacao/apartamento/toledo/vila-operaria/apartamento-para-locacao--no-condominio-san-luigi--vila-operaria--toledo---pr/870146,Giaretta,2,0,74.0
Apartamento Disponível Para Locação,Residencial,1350,140,jardim coopagro,https://www.imobiliariagiaretta.com.br/imovel/locacao/apartamento/toledo/jardim-coopagro/apartamento-disponivel-para-locacao--condominio-bono--jardim-coopagro--toledo-pr/876208,Giaretta,2,0,79.0
Terreno Amplo Disponível Para Locação No Jardim Panorama Ii,Terreno,1350,0,jardim panorama,https://www.imobiliariagiaretta.com.br/imovel/locacao/terreno/toledo/jardim-panorama/terreno-amplo-disponivel-para-locacao-no-jardim-panorama-ii--toledo---pr/852657,Giaretta,0,0,750.0
Apartamento Amplo Para Locação No Edifício San Mar,Residencial,1400,300,jardim coopagro,https://www.imobiliariagiaretta.com.br/imovel/locacao/apartamento/toledo/jardim-coopagro/apartamento-amplo-para-locacao-no-edificio-san-mar--jardim-coopagro--toledo-pr/870426,Giaretta,1,1,98.0
Apartamento Amplo E Bem Localizado Disponível Para Locação,Residencial,1400,400,centro,https://www.imobiliariagiaretta.com.br/imovel/locacao/apartamento/toledo/centro/apartamento-amplo-e-bem-localizado-disponivel-para-locacao--centro--toledo---pr/564001,Giaretta,2,1,70.0
Apartamento Para Locação No Edifício Montreal,Residencial,1480,250,centro,https://www.imobiliariagiaretta.com.br/imovel/locacao/apartamento/toledo/centro/apartamento-para-locacao-no-edificio-montreal--centro--toledo---pr/758954,Giaretta,1,1,70.0
Apartamento Amplo Para Locação No Edifício Podolan,Residencial,1490,380,centro,https://www.imobiliariagiaretta.com.br/imovel/locacao/apartamento/toledo/centro/apartamento-amplo-para-locacao-no-edificio-podolan--centro--toledo---pr/154392,Giaretta,2,0,71.0
Apartamento Com Excelente Localização Para Locação,Residencial,1490,270,vila industrial,https://www.imobiliariagiaretta.com.br/imovel/locacao/apartamento/toledo/vila-industrial/apartamento-com-excelente-localizacao-para-locacao--vila-industrial--toledo---pr/857418,Giaretta,1,1,78.0
Apartamento Amplo Para Locação,Residencial,1500,350,jardim pancera,https://www.imobiliariagiaretta.com.br/imovel/locacao/apartamento/toledo/jardim-pancera/apartamento-amplo-para-locacao--edificio-joao-e-maria--jardim-pancera--toledo-pr/343380,Giaretta,2,0,96.0
Casa Nova Em Ótima Localização Para Locação,Residencial,1500,0,jardim são francisco,https://www.imobiliariagiaretta.com.br/imovel/locacao/casa/toledo/jardim-sao-francisco/casa-nova-em-otima-localizacao-para-locacao--jardim-sao-francisco--toledo-pr/869021,Giaretta,1,1,57.0
Sala Comercial Ampla Para Locação Em Excelente Localização,Sala Comercial,1500,0,centro,https://www.imobiliariagiaretta.com.br/imovel/locacao/sala-comercial/toledo/centro/sala-comercial-ampla-para-locacao-em-excelente-localizacao--centro--toledo---pr/876489,Giaretta,0,0,40.0
Sala Comercial Para Locação Ótima Localização,Sala Comercial,1500,0,centro,https://www.imobiliariagiaretta.com.br/imovel/locacao/sala-comercial/toledo/centro/sala-comercial-para-locacao-otima-localizacao--centro--toledo---pr/776414,Giaretta,0,0,100.0
Apartamento Para Locação No Residencial Interlagos,Residencial,1550,250,jardim tocantins,https://www.imobiliariagiaretta.com.br/imovel/locacao/apartamento/toledo/jardim-tocantins/apartamento-para-locacao-no-residencial-interlagos--jd--tocantins--toledo---pr/282148,Giaretta,2,0,73.0
Casa Com Excelente Localização Para Locação,Residencial,1550,0,jardim são francisco,https://www.imobiliariagiaretta.com.br/imovel/locacao/casa/toledo/jardim-sao-francisco/casa-com-excelente-localizacao-para-locacao--jardim-sao-francisco--toledo---pr/566219,Giaretta,2,0,49.0
Apartamento Novo Disponível Para Locação Na Vila Becker,Residencial,1590,350,vila becker,https://www.imobiliariagiaretta.com.br/imovel/locacao/apartamento/toledo/vila-becker/apartamento-novo-disponivel-para-locacao-na-vila-becker--toledo---pr/778237,Giaretta,1,1,127.0
Sobrado Amplo Para Locação Em Ótima Localização,Residencial,1600,0,centro,https://www.imobiliariagiaretta.com.br/imovel/locacao/sobrado/toledo/centro/sobrado-amplo-para-locacao-em-otima-localizacao--centro--toledo---pr/877523,Giaretta,1,1,81.0
Casa Disponível Para Locação Na Vila Pioneiro,Residencial,1600,0,vila pioneiro,https://www.imobiliariagiaretta.com.br/imovel/locacao/casa/toledo/vila-pioneiro/casa-disponivel-para-locacao-na-vila-pioneiro--toledo---pr/877306,Giaretta,3,0,68.0
Sala Comercial Para Locação Em Ótima Localização Na Vila Industrial,Sala Comercial,1800,215,vila industrial,https://www.imobiliariagiaretta.com.br/imovel/locacao/sala-comercial/toledo/vila-industrial/sala-comercial-para-locacao-em-otima-localizacao-na-vila-industrial--toledo---pr/873886,Giaretta,0,0,49.0
Sala Comercial Para Locação No Corporativo Toledo,Sala Comercial,1800,0,centro,https://www.imobiliariagiaretta.com.br/imovel/locacao/sala-comercial/toledo/centro/sala-comercial-para-locacao-no-corporativo-toledo--centro--toledo---pr/769443,Giaretta,0,0,111.0
Apartamento Para Locação,Residencial,1800,0,jardim são francisco,https://www.imobiliariagiaretta.com.br/imovel/locacao/apartamento/toledo/jardim-sao-francisco/apartamento-para-locacao--jardim-sao-francisco--toledo---pr/607424,Giaretta,2,0,75.0
Apartamento No Forte Dos Lagos Para Locação Na Vila Industrial,Residencial,1850,300,vila industrial,https://www.imobiliariagiaretta.com.br/imovel/locacao/apartamento/toledo/vila-industrial/apartamento-no-forte-dos-lagos-para-locacao-na-vila-industrial--toledo---pr/838194,Giaretta,2,0,58.0
Apartamento Amplo Para Locação No Edifício Znt Equador,Residencial,1850,0,jardim gisela,https://www.imobiliariagiaretta.com.br/imovel/locacao/apartamento/toledo/jardim-gisela/apartamento-amplo-para-locacao-no-edificio-znt-equador--jardim-gisela--toledo-pr/873881,Giaretta,1,1,90.0
Apartamento Novo Para Locação Em Ótima Localização,Residencial,1850,250,jardim concordia,https://www.imobiliariagiaretta.com.br/imovel/locacao/apartamento/toledo/jardim-concordia/apartamento-novo-para-locacao-em-otima-localizacao--jardim-concordia--toledo-pr/541393,Giaretta,1,1,92.0
Apartamento Com Excelente Localização Para Locação,Residencial,2000,100,centro,https://www.imobiliariagiaretta.com.br/imovel/locacao/apartamento/toledo/centro/apartamento-com-excelente-localizacao-para-locacao--centro--toledo---pr/870208,Giaretta,2,0,82.0
Casa Moderna Disponível Para Locação No Jardim São Francisco,Residencial,2000,0,jardim são francisco,https://www.imobiliariagiaretta.com.br/imovel/locacao/casa/toledo/jardim-sao-francisco/casa-moderna-disponivel-para-locacao-no-jardim-sao-francisco--toledo-pr/714147,Giaretta,2,0,64.0
Sobrado Amplo Para Locação Em Excelente Localização,Residencial,2000,0,vila becker,https://www.imobiliariagiaretta.com.br/imovel/locacao/sobrado/toledo/vila-becker/sobrado-amplo-para-locacao-em-excelente-localizacao--vila-becker--toledo-pr/106221,Giaretta,2,1,104.0
Apartamento Amplo Para Locação No Edifício Gaivotas,Residencial,2000,380,centro,https://www.imobiliariagiaretta.com.br/imovel/locacao/apartamento/toledo/centro/apartamento-amplo-para-locacao-no-edificio-gaivotas--centro--toledo---pr/431868,Giaretta,2,1,111.0
Sala Comercial Para Locação,Sala Comercial,2100,400,centro,https://www.imobiliariagiaretta.com.br/imovel/locacao/sala-comercial/toledo/centro/sala-comercial-para-locacao--edificio-corporativo-taipas--centro--toledo---pr/861855,Giaretta,0,0,49.0
Sobrado Amplo Para Locação Em Ótima Localização,Residencial,2200,0,jardim bressan,https://www.imobiliariagiaretta.com.br/imovel/locacao/sobrado/toledo/jardim-bressan/sobrado-amplo-para-locacao-em-otima-localizacao--jardim-bressan--toledo-pr/422690,Giaretta,2,1,110.0
Apartamento Amplo Para Locação Residencial Porto Belo,Residencial,2200,300,jardim pancera,https://www.imobiliariagiaretta.com.br/imovel/locacao/apartamento/toledo/jardim-pancera/apartamento-amplo-para-locacao-residencial-porto-belo--jardim-pancera--toledo-pr/876362,Giaretta,1,1,109.0
