,titulo,preco,quartos,area
0,Sala Comercial Para Locação No Edifício Thielke,900.0,0.0,20.0
1,Sala Comercial Para Locação Em Ótima Localização,950.0,0.0,42.0
2,Apartamento Térreo Com Ótimo Custo Para Locação,1100.0,2.0,55.0
3,Apartamento Amplo Para Locação,1250.0,2.0,80.0
4,Apartamento Para Locação,1300.0,2.0,74.0
5,Apartamento Disponível Para Locação,1350.0,2.0,79.0
6,Terreno Amplo Disponível Para Locação No Jardim Panorama Ii,1350.0,0.0,750.0
7,Apartamento Amplo Para Locação No Edifício San Mar,1400.0,1.0,98.0
8,Apartamento Amplo E Bem Localizado Disponível Para Locação,1400.0,2.0,70.0
9,Apartamento Para Locação No Edifício Montreal,1480.0,1.0,70.0
10,Apartamento Amplo Para Locação No Edifício Podolan,1490.0,2.0,71.0
11,Apartamento Com Excelente Localização Para Locação,1490.0,1.0,78.0
12,Apartamento Amplo Para Locação,1500.0,2.0,96.0
13,Casa Nova Em Ótima Localização Para Locação,1500.0,1.0,57.0
14,Sala Comercial Ampla Para Locação Em Excelente Localização,1500.0,0.0,40.0
15,Sala Comercial Para Locação Ótima Localização,1500.0,0.0,100.0
16,Apartamento Para Locação No Residencial Interlagos,1550.0,2.0,73.0
17,Casa Com Excelente Localização Para Locação,1550.0,2.0,49.0
18,Apartamento Novo Disponível Para Locação Na Vila Becker,1590.0,1.0,127.0
19,Sobrado Amplo Para Locação Em Ótima Localização,1600.0,1.0,81.0
20,Casa Disponível Para Locação Na Vila Pioneiro,1600.0,3.0,68.0
21,Sala Comercial Para Locação Em Ótima Localização Na Vila Industrial,1800.0,0.0,49.0
22,Sala Comercial Para Locação No Corporativo Toledo,1800.0,0.0,111.0
23,Apartamento Para Locação,1800.0,2.0,75.0
24,Apartamento No Forte Dos Lagos Para Locação Na Vila Industrial,1850.0,2.0,58.0
25,Apartamento Amplo Para Locação No Edifício Znt Equador,1850.0,1.0,90.0
26,Apartamento Novo Para Locação Em Ótima Localização,1850.0,1.0,92.0
27,Apartamento Com Excelente Localização Para Locação,2000.0,2.0,82.0
28,Casa Moderna Disponível Para Locação No Jardim São Francisco,2000.0,2.0,64.0
29,Sobrado Amplo Para Locação Em Excelente Localização,2000.0,2.0,104.0
30,Apartamento Amplo Para Locação No Edifício Gaivotas,2000.0,2.0,111.0
31,Sala Comercial Para Locação,2100.0,0.0,49.0
32,Sobrado Amplo Para Locação Em Ótima Localização,2200.0,2.0,110.0
33,Apartamento Amplo Para Locação Residencial Porto Belo,2200.0,1.0,109.0
34,Apartamento Para Locação No Ed. Znt Borges De Medeiros,2200.0,1.0,114.0
35,Sala Comercial Para Locação,2390.0,0.0,37.0
36,Sala Comercial Para Locação,2390.0,0.0,37.0
37,Apartamento Para Locação No Edifício Portal Do Lago,2390.0,2.0,100.0
38,Sala Comercial No Corporativo Taipas,2390.0,0.0,49.0
39,Sala Comercial Para Locação,2400.0,0.0,20.0
40,Apartamento Para Locação,2475.0,2.0,142.0
41,Sala Comercial Em Frente A Prefeitura,2490.0,0.0,49.0
42,Apartamento Amplo Para Locação No Znt Industrial,2500.0,1.0,90.0
43,Apartamento Para Locação No Edifício Woodville,2500.0,1.0,90.0
44,Sala Comercial Para Locação No Citta Residence,2500.0,0.0,14.0
45,Sobrado Amplo Para Locação Em Ótima Localização No Jardim Coopagro,2500.0,2.0,110.0
46,Sala Comercial Para Locação No Citta Residence,2500.0,0.0,14.0
47,Apartamento Para Locação No Edifício Vitallity,2500.0,0.0,96.0
48,Apartamento Para Locação No Edifício Woodville,2500.0,1.0,90.0
49,Sala Comercial Para Locação No Jardim Santa Maria,2500.0,0.0,10.0
50,Sobrado Amplo Para Locação No Jardim Pancera Em Toledo-Pr,2550.0,3.0,115.0
51,Apartamento Amplo Para Locação No Edifício Dona Adelina,2600.0,2.0,151.0
52,Sobrado Amplo Em Excelente Localização Para Locação,2600.0,2.0,96.0
53,Sala Comercial Para Locação No Camelódromo,2640.0,0.0,25.0
54,Apartamento Para Locação No Edifício Celestial,2680.0,1.0,110.0
55,Apartamento Semi Mobiliado Para Locação,2700.0,1.0,100.0
56,Apartamento Para Locação No Residencial Bella Luna,2700.0,1.0,129.0
57,Sala Comercial Nova Disponível Para Locação Na Vila Pioneiro,2700.0,0.0,100.0
58,Sala Comercial Nova Disponível Para Locação No Jardim Panorama,2700.0,0.0,100.0
59,Apartamento Amplo Para Locação,2700.0,2.0,147.0
60,Sala Comercial Para Locação,2770.0,0.0,49.0
61,Sala Comercial Para Locação,2790.0,0.0,49.0
62,Apartamento Amplo Para Locação Em Ótima Localização,2800.0,3.0,203.0
