titles
Google to require developer verification to install and sideload Android apps,"G, o, o, g, l, e,  , t, o,  , r, e, q, u, i, r, e,  , d, e, v, e, l, o, p, e, r,  , v, e, r, i, f, i, c, a, t, i, o, n,  , t, o,  , i, n, s, t, a, l, l,  , a, n, d,  , s, i, d, e, l, o, a, d,  , A, n, d, r, o, i, d,  , a, p, p, s"
Google's Liquid Cooling,"G, o, o, g, l, e, ', s,  , L, i, q, u, i, d,  , C, o, o, l, i, n, g"
"Social media's next evolution: decentralized, open-source, and scalable","S, o, c, i, a, l,  , m, e, d, i, a, ', s,  , n, e, x, t,  , e, v, o, l, u, t, i, o, n, :,  , d, e, c, e, n, t, r, a, l, i, z, e, d, ,,  , o, p, e, n, -, s, o, u, r, c, e, ,,  , a, n, d,  , s, c, a, l, a, b, l, e"
Study finds gaps in evidence for air-cleaning technologies to prevent infections,"S, t, u, d, y,  , f, i, n, d, s,  , g, a, p, s,  , i, n,  , e, v, i, d, e, n, c, e,  , f, o, r,  , a, i, r, -, c, l, e, a, n, i, n, g,  , t, e, c, h, n, o, l, o, g, i, e, s,  , t, o,  , p, r, e, v, e, n, t,  , i, n, f, e, c, t, i, o, n, s"
Exploring the tragedy of the Counter-Strike 2 server browser,"E, x, p, l, o, r, i, n, g,  , t, h, e,  , t, r, a, g, e, d, y,  , o, f,  , t, h, e,  , C, o, u, n, t, e, r, -, S, t, r, i, k, e,  , 2,  , s, e, r, v, e, r,  , b, r, o, w, s, e, r"
"Show HN: Base, an SQLite database editor for macOS","S, h, o, w,  , H, N, :,  , B, a, s, e, ,,  , a, n,  , S, Q, L, i, t, e,  , d, a, t, a, b, a, s, e,  , e, d, i, t, o, r,  , f, o, r,  , m, a, c, O, S"
A visual introduction to big O notation,"A,  , v, i, s, u, a, l,  , i, n, t, r, o, d, u, c, t, i, o, n,  , t, o,  , b, i, g,  , O,  , n, o, t, a, t, i, o, n"
Llama Fund: Crowdfund AI Models,"L, l, a, m, a,  , F, u, n, d, :,  , C, r, o, w, d, f, u, n, d,  , A, I,  , M, o, d, e, l, s"
Turning a Decommissioned iPhone into a UniFi Protect Camera,"T, u, r, n, i, n, g,  , a,  , D, e, c, o, m, m, i, s, s, i, o, n, e, d,  , i, P, h, o, n, e,  , i, n, t, o,  , a,  , U, n, i, F, i,  , P, r, o, t, e, c, t,  , C, a, m, e, r, a"
The Annotated Transformer,"T, h, e,  , A, n, n, o, t, a, t, e, d,  , T, r, a, n, s, f, o, r, m, e, r"
Launch HN: April (YC S25) – Voice AI to manage your email and calendar,"L, a, u, n, c, h,  , H, N, :,  , A, p, r, i, l,  , (, Y, C,  , S, 2, 5, ),  , –,  , V, o, i, c, e,  , A, I,  , t, o,  , m, a, n, a, g, e,  , y, o, u, r,  , e, m, a, i, l,  , a, n, d,  , c, a, l, e, n, d, a, r"
How RubyGems.org protects OSS infrastructure,"H, o, w,  , R, u, b, y, G, e, m, s, ., o, r, g,  , p, r, o, t, e, c, t, s,  , O, S, S,  , i, n, f, r, a, s, t, r, u, c, t, u, r, e"
Fenster: Most minimal cross-platform GUI library,"F, e, n, s, t, e, r, :,  , M, o, s, t,  , m, i, n, i, m, a, l,  , c, r, o, s, s, -, p, l, a, t, f, o, r, m,  , G, U, I,  , l, i, b, r, a, r, y"
DeepWiki: Understand Any Codebase,"D, e, e, p, W, i, k, i, :,  , U, n, d, e, r, s, t, a, n, d,  , A, n, y,  , C, o, d, e, b, a, s, e"
Show HN: Timep – A next-gen profiler and flamegraph-generator for bash code,"S, h, o, w,  , H, N, :,  , T, i, m, e, p,  , –,  , A,  , n, e, x, t, -, g, e, n,  , p, r, o, f, i, l, e, r,  , a, n, d,  , f, l, a, m, e, g, r, a, p, h, -, g, e, n, e, r, a, t, o, r,  , f, o, r,  , b, a, s, h,  , c, o, d, e"
A small change to improve browsers for keyboard navigation,"A,  , s, m, a, l, l,  , c, h, a, n, g, e,  , t, o,  , i, m, p, r, o, v, e,  , b, r, o, w, s, e, r, s,  , f, o, r,  , k, e, y, b, o, a, r, d,  , n, a, v, i, g, a, t, i, o, n"
A short proof of the Hairy Ball theorem (2016) [pdf],"A,  , s, h, o, r, t,  , p, r, o, o, f,  , o, f,  , t, h, e,  , H, a, i, r, y,  , B, a, l, l,  , t, h, e, o, r, e, m,  , (, 2, 0, 1, 6, ),  , [, p, d, f, ]"
Building the mouse Logitech won't make,"B, u, i, l, d, i, n, g,  , t, h, e,  , m, o, u, s, e,  , L, o, g, i, t, e, c, h,  , w, o, n, ', t,  , m, a, k, e"
Reverse Engineering All the Raspberry Pis,"R, e, v, e, r, s, e,  , E, n, g, i, n, e, e, r, i, n, g,  , A, l, l,  , t, h, e,  , R, a, s, p, b, e, r, r, y,  , P, i, s"
Ban me at the IP level if you don't like me,"B, a, n,  , m, e,  , a, t,  , t, h, e,  , I, P,  , l, e, v, e, l,  , i, f,  , y, o, u,  , d, o, n, ', t,  , l, i, k, e,  , m, e"
What is a color space?,"W, h, a, t,  , i, s,  , a,  , c, o, l, o, r,  , s, p, a, c, e, ?"
How to Fix Your Context,"H, o, w,  , t, o,  , F, i, x,  , Y, o, u, r,  , C, o, n, t, e, x, t"
How to make things slower so they go faster,"H, o, w,  , t, o,  , m, a, k, e,  , t, h, i, n, g, s,  , s, l, o, w, e, r,  , s, o,  , t, h, e, y,  , g, o,  , f, a, s, t, e, r"
Playing every game of Wordle simultaneously,"P, l, a, y, i, n, g,  , e, v, e, r, y,  , g, a, m, e,  , o, f,  , W, o, r, d, l, e,  , s, i, m, u, l, t, a, n, e, o, u, s, l, y"
FCC bars providers for non-compliance with robocall protections,"F, C, C,  , b, a, r, s,  , p, r, o, v, i, d, e, r, s,  , f, o, r,  , n, o, n, -, c, o, m, p, l, i, a, n, c, e,  , w, i, t, h,  , r, o, b, o, c, a, l, l,  , p, r, o, t, e, c, t, i, o, n, s"
Scamlexity: When agentic AI browsers get scammed,"S, c, a, m, l, e, x, i, t, y, :,  , W, h, e, n,  , a, g, e, n, t, i, c,  , A, I,  , b, r, o, w, s, e, r, s,  , g, e, t,  , s, c, a, m, m, e, d"
What are OKLCH colors?,"W, h, a, t,  , a, r, e,  , O, K, L, C, H,  , c, o, l, o, r, s, ?"
The MiniPC Revolution,"T, h, e,  , M, i, n, i, P, C,  , R, e, v, o, l, u, t, i, o, n"
Make the Easy Change Hard,"M, a, k, e,  , t, h, e,  , E, a, s, y,  , C, h, a, n, g, e,  , H, a, r, d"
An illustrated guide to OAuth,"A, n,  , i, l, l, u, s, t, r, a, t, e, d,  , g, u, i, d, e,  , t, o,  , O, A, u, t, h"
