Criptomoeda,Preço de Abertura (Open),Preço Máximo (High),Preço Mínimo (Low),Volume de Transações (Volume),Preço de Fechamento (Close)
Bitcoin (BTC),R$250000,R$260000,R$240000,1200 BTC,R$255000
Ethereum (ETH),R$16000,R$17000,R$15500,3000 ETH,R$16500
Cardano (ADA),R$10.00,R$11.00,R$9.50,5000000 ADA,R$10.50
Solana (SOL),R$750,R$800,R$725,500000 SOL,R$775
Binance Coin (BNB),R$2250,R$2375,R$2200,250000 BNB,R$2325
Ripple (XRP),R$5.00,R$5.25,R$4.75,1000000 XRP,R$5.10
Polkadot (DOT),R$150,R$160,R$145,200000 DOT,R$155
Litecoin (LTC),R$1000,R$1050,R$975,150000 LTC,R$1025
Chainlink (LINK),R$125,R$135,R$120,300000 LINK,R$130
Dogecoin (DOGE),R$1.25,R$1.40,R$1.20,15000000 DOGE,R$1.35
Stellar (XLM),R$2.00,R$2.10,R$1.90,10000000 XLM,R$2.05
Avalanche (AVAX),R$300,R$310,R$290,80000 AVAX,R$305
Uniswap (UNI),R$125,R$130,R$120,100000 UNI,R$127.50
Terra (LUNA),R$50,R$55,R$47.50,400000 LUNA,R$52.50
VeChain (VET),R$0.60,R$0.65,R$0.55,8000000 VET,R$0.60
Theta (THETA),R$37.50,R$40.00,R$35.00,100000 THETA,R$38.75
Aave (AAVE),R$1750,R$1800,R$1700,50000 AAVE,R$1775
Cosmos (ATOM),R$125,R$130,R$120,120000 ATOM,R$127.50
FTX Token (FTT),R$250,R$260,R$240,30000 FTT,R$255
Algorand (ALGO),R$9.00,R$9.25,R$8.75,1000000 ALGO,R$9.10
