userId,total_carts,total_items,total_amount,usuarios,products
6,1,10.0,1749.9,Olivia,[]
11,1,19.0,11741.310000000001,Liam,"[{'id': 11, 'title': 'Annibale Colombo Bed', 'description': 'The Annibale Colombo Bed is a luxurious and elegant bed frame, crafted with high-quality materials for a comfortable and stylish bedroom.', 'category': 'furniture', 'price': 1899.99, 'discountPercentage': 8.57, 'rating': 4.77, 'stock': 88, 'tags': ['furniture', 'beds'], 'brand': 'Annibale Colombo', 'sku': 'FUR-ANN-ANN-011', 'weight': 10, 'warrantyInformation': '1 year warranty', 'shippingInformation': 'Ships in 1 month', 'availabilityStatus': 'In Stock', 'reviews': [{'rating': 2, 'comment': 'Would not recommend!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Christopher West', 'reviewerEmail': 'christopher.west@x.dummyjson.com'}, {'rating': 4, 'comment': 'Highly impressed!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Vivian Carter', 'reviewerEmail': 'vivian.carter@x.dummyjson.com'}, {'rating': 1, 'comment': 'Poor quality!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Mason Wright', 'reviewerEmail': 'mason.wright@x.dummyjson.com'}], 'returnPolicy': 'No return policy', 'minimumOrderQuantity': 1, 'images': ['https://cdn.dummyjson.com/product-images/furniture/annibale-colombo-bed/1.webp', 'https://cdn.dummyjson.com/product-images/furniture/annibale-colombo-bed/2.webp', 'https://cdn.dummyjson.com/product-images/furniture/annibale-colombo-bed/3.webp'], 'thumbnail': 'https://cdn.dummyjson.com/product-images/furniture/annibale-colombo-bed/thumbnail.webp', 'dimensions.width': 28.16, 'dimensions.height': 25.36, 'dimensions.depth': 17.28, 'meta.createdAt': '2025-04-30T09:41:02.053Z', 'meta.updatedAt': '2025-04-30T09:41:02.053Z', 'meta.barcode': '3610757456581', 'meta.qrCode': 'https://cdn.dummyjson.com/public/qr-code.png'}, {'id': 30, 'title': 'Kiwi', 'description': 'Nutrient-rich kiwi, perfect for snacking or adding a tropical twist to your dishes.', 'category': 'groceries', 'price': 2.49, 'discountPercentage': 15.22, 'rating': 4.93, 'stock': 99, 'tags': ['fruits'], 'brand': nan, 'sku': 'GRO-BRD-KIW-030', 'weight': 5, 'warrantyInformation': '6 months warranty', 'shippingInformation': 'Ships overnight', 'availabilityStatus': 'In Stock', 'reviews': [{'rating': 4, 'comment': 'Highly recommended!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Emily Brown', 'reviewerEmail': 'emily.brown@x.dummyjson.com'}, {'rating': 2, 'comment': 'Would not buy again!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Jackson Morales', 'reviewerEmail': 'jackson.morales@x.dummyjson.com'}, {'rating': 4, 'comment': 'Fast shipping!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Nora Russell', 'reviewerEmail': 'nora.russell@x.dummyjson.com'}], 'returnPolicy': '7 days return policy', 'minimumOrderQuantity': 30, 'images': ['https://cdn.dummyjson.com/product-images/groceries/kiwi/1.webp'], 'thumbnail': 'https://cdn.dummyjson.com/product-images/groceries/kiwi/thumbnail.webp', 'dimensions.width': 19.4, 'dimensions.height': 18.67, 'dimensions.depth': 17.13, 'meta.createdAt': '2025-04-30T09:41:02.053Z', 'meta.updatedAt': '2025-04-30T09:41:02.053Z', 'meta.barcode': '2530169917252', 'meta.qrCode': 'https://cdn.dummyjson.com/public/qr-code.png'}]"
23,1,14.0,15685.859999999999,Chloe,"[{'id': 6, 'title': 'Calvin Klein CK One', 'description': ""CK One by Calvin Klein is a classic unisex fragrance, known for its fresh and clean scent. It's a versatile fragrance suitable for everyday wear."", 'category': 'fragrances', 'price': 49.99, 'discountPercentage': 1.89, 'rating': 4.37, 'stock': 29, 'tags': ['fragrances', 'perfumes'], 'brand': 'Calvin Klein', 'sku': 'FRA-CAL-CAL-006', 'weight': 7, 'warrantyInformation': '1 week warranty', 'shippingInformation': 'Ships overnight', 'availabilityStatus': 'In Stock', 'reviews': [{'rating': 2, 'comment': 'Very disappointed!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Layla Young', 'reviewerEmail': 'layla.young@x.dummyjson.com'}, {'rating': 4, 'comment': 'Fast shipping!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Daniel Cook', 'reviewerEmail': 'daniel.cook@x.dummyjson.com'}, {'rating': 3, 'comment': 'Not as described!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Jacob Cooper', 'reviewerEmail': 'jacob.cooper@x.dummyjson.com'}], 'returnPolicy': '90 days return policy', 'minimumOrderQuantity': 9, 'images': ['https://cdn.dummyjson.com/product-images/fragrances/calvin-klein-ck-one/1.webp', 'https://cdn.dummyjson.com/product-images/fragrances/calvin-klein-ck-one/2.webp', 'https://cdn.dummyjson.com/product-images/fragrances/calvin-klein-ck-one/3.webp'], 'thumbnail': 'https://cdn.dummyjson.com/product-images/fragrances/calvin-klein-ck-one/thumbnail.webp', 'dimensions.width': 29.36, 'dimensions.height': 27.76, 'dimensions.depth': 20.72, 'meta.createdAt': '2025-04-30T09:41:02.053Z', 'meta.updatedAt': '2025-04-30T09:41:02.053Z', 'meta.barcode': '2451534060749', 'meta.qrCode': 'https://cdn.dummyjson.com/public/qr-code.png'}, {'id': 18, 'title': 'Cat Food', 'description': 'Nutritious cat food formulated to meet the dietary needs of your feline friend.', 'category': 'groceries', 'price': 8.99, 'discountPercentage': 9.58, 'rating': 3.13, 'stock': 46, 'tags': ['pet supplies', 'cat food'], 'brand': nan, 'sku': 'GRO-BRD-FOO-018', 'weight': 10, 'warrantyInformation': '1 year warranty', 'shippingInformation': 'Ships overnight', 'availabilityStatus': 'In Stock', 'reviews': [{'rating': 3, 'comment': 'Would not recommend!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Noah Lewis', 'reviewerEmail': 'noah.lewis@x.dummyjson.com'}, {'rating': 3, 'comment': 'Very unhappy with my purchase!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Ruby Andrews', 'reviewerEmail': 'ruby.andrews@x.dummyjson.com'}, {'rating': 2, 'comment': 'Very disappointed!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Ethan Thompson', 'reviewerEmail': 'ethan.thompson@x.dummyjson.com'}], 'returnPolicy': 'No return policy', 'minimumOrderQuantity': 18, 'images': ['https://cdn.dummyjson.com/product-images/groceries/cat-food/1.webp'], 'thumbnail': 'https://cdn.dummyjson.com/product-images/groceries/cat-food/thumbnail.webp', 'dimensions.width': 18.08, 'dimensions.height': 9.26, 'dimensions.depth': 21.86, 'meta.createdAt': '2025-04-30T09:41:02.053Z', 'meta.updatedAt': '2025-04-30T09:41:02.053Z', 'meta.barcode': '1483991328610', 'meta.qrCode': 'https://cdn.dummyjson.com/public/qr-code.png'}]"
33,1,15.0,103774.85,,[]
41,1,13.0,793.07,,[]
42,1,4.0,251.95999999999998,,[]
59,1,13.0,933.87,,[]
66,1,8.0,459.92,,[]
75,1,11.0,190.89,,"[{'id': 16, 'title': 'Apple', 'description': 'Fresh and crisp apples, perfect for snacking or incorporating into various recipes.', 'category': 'groceries', 'price': 1.99, 'discountPercentage': 12.62, 'rating': 4.19, 'stock': 8, 'tags': ['fruits'], 'brand': nan, 'sku': 'GRO-BRD-APP-016', 'weight': 9, 'warrantyInformation': '3 year warranty', 'shippingInformation': 'Ships in 2 weeks', 'availabilityStatus': 'In Stock', 'reviews': [{'rating': 5, 'comment': 'Very satisfied!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Sophia Brown', 'reviewerEmail': 'sophia.brown@x.dummyjson.com'}, {'rating': 1, 'comment': 'Very dissatisfied!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Scarlett Bowman', 'reviewerEmail': 'scarlett.bowman@x.dummyjson.com'}, {'rating': 3, 'comment': 'Very unhappy with my purchase!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'William Gonzalez', 'reviewerEmail': 'william.gonzalez@x.dummyjson.com'}], 'returnPolicy': '90 days return policy', 'minimumOrderQuantity': 7, 'images': ['https://cdn.dummyjson.com/product-images/groceries/apple/1.webp'], 'thumbnail': 'https://cdn.dummyjson.com/product-images/groceries/apple/thumbnail.webp', 'dimensions.width': 13.66, 'dimensions.height': 11.01, 'dimensions.depth': 9.73, 'meta.createdAt': '2025-04-30T09:41:02.053Z', 'meta.updatedAt': '2025-04-30T09:41:02.053Z', 'meta.barcode': '7962803553314', 'meta.qrCode': 'https://cdn.dummyjson.com/public/qr-code.png'}]"
86,1,11.0,145651.89,,[]
